ECONOMY_NAME,promedio_anio_2025,promedio_IN_2025,promedio_OUT_2025,ISO3,GII_Score_2025,GII_Rank_2025,promedio_anio_2024,promedio_IN_2024,promedio_OUT_2024,GII_Score_2024,GII_Rank_2024,promedio_anio_2023,promedio_IN_2023,promedio_OUT_2023,GII_Score_2023,GII_Rank_2023,promedio_anio_2022,promedio_IN_2022,promedio_OUT_2022,GII_Score_2022,GII_Rank_2022,promedio_anio_2021,promedio_IN_2021,promedio_OUT_2021,GII_Rank_2021,GII_Score_2021,POP_2025,PPPGDP_2025,PPPPC_2025,POP_2024,PPPGDP_2024,PPPPC_2024,POP_2023,PPPGDP_2023,PPPPC_2023,POP_2022,PPPGDP_2022,PPPPC_2022,POP_2021,PPPPC_2021
Qatar,2022.7324,2022.5209,2023.174,QAT,34.5617675520126,48,2022.0139,2021.7959,2022.4783,32.8862629249853,49,2020.863,2020.6801,2021.2609,33.3720831984592,50,2019.8243,2019.7,2020.0834,32.92170806839823,52,2018.7433,2018.62,2019,68,31.4924542376361,3048.43,355.999,115074.54,2979.09,328.134,114210.4,2695.12,303.596,113674.65,2931,273.9,100037,2881.06,91897.10000000001
Romania,2023.2693,2023.1698,2023.48,ROU,34.2643558022539,49,2022.2307,2022.1132,2022.48,33.3987268747427,48,2021.125,2020.9445,2021.5,34.6623689583375,47,2020.0864,2019.9814,2020.2963,34.10926443570521,49,2018.9753,2018.8889,2019.1482,48,35.6205631353344,19015.09,894.222,47203.73,19118.48,780.797,41029.18,19659.27,731.466,38096.84,19128,653.9,33833,19237.68,30141
Russia,2022.6974,2022.4231,2023.2916,RUS,30.2640735373132,60,2021.8534,2021.6078,2022.375,29.7295093781137,59,2020.9487,2020.6981,2021.48,33.3064881024367,51,2020.1266,2020.0385,2020.2963,34.26616648953338,47,2019.0253,2018.9615,2019.1482,45,36.5884298170582,144820.42,6909.381,47298.71,145790.27,5056.48,35309.62,144713.31,4649.67,31967.03,145912,4447.5,30431,145934.46,27393.84
Rwanda,2022.9722,2022.78,2023.4091,RWA,21.1035599471288,104,2021.9718,2021.74,2022.5238,19.6889830183592,104,2020.8472,2020.54,2021.5454,20.5891618561067,103,2019.7887,2019.6,2020.238,18.73129422472696,105,2018.8406,2018.6875,2019.1904,102,23.8783318262385,14256.56,51.918,3746.81,13954.47,42.346,3137,13776.7,37.586,2835.82,13277,31.2,2410,12952.21,2392.56
Saudi Arabia,2023.1096,2022.9183,2023.5,SAU,36.0448190047954,46,2022.2113,2022.1041,2022.4348,33.9342283166781,47,2021.2878,2021.1163,2021.6086,34.5132403306794,48,2020.1471,2020.0682,2020.2916,33.35759405172391,51,2018.8971,2018.7273,2019.2084,66,31.8428413497133,33962.76,2112.88,63117.95,32263.24,2246.54,68452.85000000001,36408.82,2018.26,55802.34,35341,1734.2,48908,34813.87,46272.87
Senegal,2022.4412,2022.1957,2022.9546,SEN,23.8365360757092,89,2021.4058,2021,2022.2727,21.9741597208381,92,2020.5071,2020.0625,2021.4348,22.5425108278035,93,2019.662,2019.4043,2020.1666,19.90532410852326,99,2018.3199,2018.14,2018.6801,105,23.2649204731639,18501.98,94.351,5056.15,18077.59,78.547,4324.88,17316.45,72.703,4113.05,17196,63.6,3699,16743.93,3462.82
Serbia,2023.3014,2023.2245,2023.4584,SRB,31.7434550377633,54,2022.2113,2022.0851,2022.4584,32.2543584374392,52,2021.137,2020.9584,2021.48,33.1112534588203,53,2019.973,2019.8125,2020.2693,32.27555235737427,55,2018.9231,2018.8269,2019.1154,54,35.0418231663887,6736.22,191.561,29038.9,6773.19,173.075,26074.16,7221.37,164.835,24084.41,8698,146.6,21243,8737.370000000001,18840.3
Seychelles,2022.5964,2022.2683,2023.4375,SYC,27.1626135583414,75,,,,,,,,,,,,,,,,,,,,,130.42,4.136,41077.69,,,,,,,,,,,
Singapore,2023.1506,2022.9796,2023.5,SGP,59.9434212495639,5,2022.0822,2021.8776,2022.5,61.1810237612485,4,2021.1082,2020.8979,2021.52,61.4673484686689,5,2019.9342,2019.74,2020.3077,57.25184153526138,7,2018.8206,2018.6538,2019.1538,8,57.7747812027938,5832.39,879.978,148185.78,5789.1,753.273,133107.6,5975.69,700.98,131425.71,5897,615.3,107677,5850.34,95603.31
Slovakia,2023.2838,2023.2157,2023.4348,SVK,35.5078995905856,47,2022.08,2021.9231,2022.4348,34.3113538864468,46,2021.0513,2020.849,2021.48,36.2076540341616,45,2020.0632,2019.9434,2020.3077,34.30054917783605,46,2018.9231,2018.8269,2019.1154,37,40.1863192340617,5506.76,247.54,45632.21,5518.04,229.584,42228.01,5643.45,211.118,38620.16,5461,194.1,35547,5459.64,32184.3
Slovenia,2023.2667,2023.1923,2023.4348,SVN,40.1045760929647,35,2022.24,2022.1346,2022.4783,40.1677545285405,34,2021.0129,2020.9623,2021.125,42.2442689871908,33,2020.0128,2019.9811,2020.08,40.55823293476173,33,2018.8334,2018.9231,2018.6538,32,44.1365278319659,2118.7,117.993,55683.97,2118.42,108.683,51406.56,2119.84,105.45,49967.8,2079,90.90000000000001,43206,2078.93,38506.47
South Africa,2023.2236,2023.1154,2023.4584,ZAF,30.1382792250188,61,2022.1578,2021.9807,2022.5416,28.3372153734356,69,2021.0128,2020.849,2021.36,30.4143512568591,59,2020.0256,2019.8679,2020.36,29.82044114325341,61,2018.9221,2018.8269,2019.12,61,32.6956722901188,64007.19,993.745,15723.25,63212.41,997.444,16211.16,59893.89,949.846,15555.9,60042,861.9,14239,59308.69,11911.45
South Korea,2023.2208,2023.0962,2023.48,KOR,59.9976353178735,4,2022.3158,2022.2354,2022.48,60.9303288609914,6,2021.1666,2021.0193,2021.4615,58.5950036383156,10,2020.0513,2020,2020.1538,57.78413011054039,6,2018.9873,2018.9615,2019.037,5,59.2730980577386,51717.59,3258.366,62960.47,51748.75,2924.19,56708.95,51815.81,2765.83,53574.17,51305,2503.4,48309,51269.18,44292.19
Spain,2023.2858,2023.1923,2023.48,ESP,44.6070366016514,29,2022.2078,2022.0769,2022.48,44.9339244706781,28,2021.1646,2021,2021.5,45.9258591296864,29,2020.15,2020.0566,2020.3334,44.62289523839414,29,2019,2018.9231,2019.1482,30,45.3900652264464,47910.53,2665.23,55089.21,47911.59,2413.07,50471.69,47558.63,2215.99,46551.16,46745,1984,42074,46754.78,38143.19
Sri Lanka,2022.7,2022.4286,2023.3334,LKA,22.9052774592463,93,2021.6418,2021.3617,2022.3,22.6004533959574,89,2020.7537,2020.4166,2021.5238,23.3030925848217,90,2019.5775,2019.3265,2020.1364,24.23423060375524,85,2018.5946,2018.5294,2018.7391,95,25.0764811101352,23103.57,,,22971.62,,,21832.14,318.69,14230.06,21497,311.2,14123,21413.25,13113.61
